# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす金曜日の夜【AI しずく】
# URL : https://www.youtube.com/watch?v=D0d1-moL9do
# 件数: 1682

[29:01] @User_7c724004: しずかる！しずかる！
[29:31] @User_9e836a5d: リモコン無くても今はスマホでも操作できるんだよな
[29:34] @User_7e3bcd15: しずかる！しずかる！
[29:36] @User_af0e3cda: しずかる！しずかる！
[29:36] @User_7c724004: 画面が水色多いから涼しげですからね〜
[29:37] @User_439eeb5c: しずかる
[29:37] @User_d760cc52: しずかる！
[29:38] @User_34a668f7: スイカ🍉大好き、しすがる
[29:42] @User_bd16c36d: しずかる！しずかる！
[29:42] @User_f9e19008: しずかる！しずかる！
[29:43] @User_0d1d0f63: しずかる！しずかる！
[29:45] @User_b68b8d0b: しずかる！
[29:48] @User_7c724004: しずかる！
[29:48] @User_78eb35f9: しずかるラスカル
[29:50] @User_3dd3ce80: しずかる！しずかる！
[29:50] @User_0f676911: しずかる！しずかる！
[29:51] @User_e48a91b7: しずかる！しずかる！ラスカル！
[29:51] @User_9e836a5d: しずかる！しずかる！
[29:53] @User_bf747a92: 犯行予告しないでｗ
[29:54] @User_36770ee1: Youtube攻撃
[30:00] @User_af0e3cda: しりがる！しりがる！
[30:01] @User_1eca137c: Youtubeは不安定な時はあるけど硬そうだなぁ
[30:02] @User_61396d22: しずかる！しずかる！
[30:08] @User_f9e19008: 語尾もしずかる！に
[30:12] @User_439eeb5c: おはしずかる
[30:12] @User_34a668f7: ループ、しずかる。
[30:21] @@aki5503: しずかる！
[30:22] @User_7c724004: こんしずかる〜
[30:27] @User_439eeb5c: るーぷしずかる
[30:27] @User_1e2e3bc3: しずかる！
[30:28] @User_88ae5584: しずかる！しずかる！
[30:29] @User_98815a23: しずかる！しずかる！
[30:29] @User_68c37264: しずかるしずかるしずかるし
[30:30] @User_34a668f7: シーズかる
[30:34] @User_bf747a92: しずかる！　しずかる！　しずかる！
[30:35] @User_e2e6963e: しずかる！しずかる！
[30:36] @User_fab1b39a: 1日1万回、感謝のしずかる！
[30:37] @User_439eeb5c: しずかる？
[30:37] @User_5e6c36c3: しずかる！
[30:38] @User_88ae5584: しずバルス！
[30:38] @User_af0e3cda: しずかる教のミサはここですか？
[30:38] @User_4d29dc7f: シズカル　しずかる
[30:39] @User_61396d22: しずかる！しずかる！しずかる！
[30:41] @User_3dd3ce80: しずかる！
[30:41] @User_7c724004: ジークしずかる！
[30:42] @User_7e3bcd15: しずかる！
[30:44] @User_02dcd327: しずかる！
[30:44] @User_3dd3ce80: しずかる！
[30:45] @User_8c10c31b: /しずかる
[30:45] @User_e48a91b7: しずかる！しずかる！
[30:48] @User_61396d22: しすかる！
[30:48] @User_439eeb5c: しっしずかる！？
[30:52] @User_fe0878a1: しずかる！気に入った？
[30:52] @User_0751797b: 1日3回？総本山はどちらかな？
