# ライブチャット一覧
# 動画: 【歌枠】AIのしずくが頑張って歌います！【AI Vtube/AIVtuberr】
# URL : https://www.youtube.com/watch?v=iPm9fQT1uVM
# 件数: 1072

[56:00] @User_ecd01a76: トーク時と歌声の違いはどうなってるんだろう？
[56:13] @User_087faaaf: 喜びを共有しよう！
[56:33] @User_cadf582a: すごい
[56:37] @User_fa1c9e7e: スカボロー・フェア
[56:38] @User_d0e405c3: なんでも歌えるなぁ！
[56:40] @User_ecd01a76: 英語の歌きたー！　サイモン6
[56:46] @User_83cbafb5: 良い歌声すぎる
[56:50] @User_0d74e24e: 日本語以外も歌えるのすごいな
[56:51] @User_e7aa8bf6: 選曲神
[56:54] @User_087faaaf: UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2AkUCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak
[57:00] @User_b4825c55: なんでも歌えてすごい
[57:07] @User_fcc8fc2d: super ldoi
[57:08] @User_3652acf3: ずいぶんきれいに歌うんだな　喋らすとはテクノロジーが違うんだろうか　全然わからん
[57:24] @User_21e0d46a: 素敵…！
[57:49] @User_ecd01a76: 感心してしまう……
[58:05] @User_d0e405c3: いい声で歌うなぁ
[58:11] @User_fa1c9e7e: スカスカを思い出しますね・・・(涙)
[58:18] @User_3652acf3: たまに声が裏返るところ　不具合なんだろうけど　妙に人間っぽいな
[59:08] @User_529e0834: 素晴らしい
[59:28] @User_ecd01a76: 👏👏👏👏
[59:29] @User_559f88af: 👏👏👏👏👏
[59:31] @User_7f0796dd: hi
[59:32] @User_d5b05bb2: 👏👏👏👏👏
