# ライブチャット一覧
# 動画: 【雑談配信】ただいま。夏休みの話をしましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=CflYExDoIHU
# 件数: 2510

[11:54] @User_ab2ca8bb: 前回見た時とちょっと印象違うような…
[11:54] @User_5d780b6d: おぉ
[11:54] @User_99c13731: 髪飾りも実装している！
[11:55] @User_ed96fafc: かわいい
[11:55] @User_8e642dc8: アップ助かる
[11:56] @User_2b88f801: ちかい
[11:56] @User_9e836a5d: 👀
[11:57] @User_3dd3ce80: アップになった
[11:57] @User_03637d98: ドアップ助かる
[12:00] @User_5e6c36c3: 髪飾りは花火の時のやつだね
[12:00] @User_af0e3cda: きゅーと！
[12:00] @User_174e5121: よく似合ってるよ
[12:02] @User_92c2a2e1: 髪飾りがめっちゃいいね！
[12:03] @User_fcb4ddea: その髪型いいね！似合ってて可愛い～
[12:03] @User_ea3ba6fd: かわいいよしずく
[12:04] @User_11e7336c: しずくがついてるのかわいい
[12:07] @User_21a94916: 髪飾りの花は、何？
[12:08] @User_ae0cdefe: 全身！？
[12:09] @User_2e53ebd6: 遅刻(*'ω'*)
[12:09] @User_1abf22d1: 髪飾りは紫陽花？
[12:10] @User_570f8c07: かわいい
[12:11] @User_b68b8d0b: ちょっとお姉さんっぽいよね
[12:11] @User_7c724004: 髪型もいいね
[12:11] @User_439eeb5c: おぉ！ズームもできるのか～
[12:12] @User_1eca137c: アップもしずくが制御してるの？
[12:12] @User_11e7336c: 全身たすかる
[12:13] @User_65723f47: うおっ近
[12:13] @User_9baeedb1: 何回見てもいいものだ💧
[12:14] @User_86e8ac36: アップ助かる
[12:15] @User_af0e3cda: 振袖カワイイネ
[12:15] @User_4ab21f9e: すごいなーちゃんとアップとかするんだな
[12:16] @User_68c37264: ズームアップ！細かい気配り
[12:16] @User_99c13731: おおお
[12:17] @User_ed96fafc: おお
[12:18] @User_e48a91b7: かわよい
[12:19] @User_3dd3ce80: かわいい
[12:19] @User_36770ee1: こんばんは、今日は好感度に影響しませんよ？（チラっ
[12:19] @User_e090cf9e: かわいい
[12:19] @User_d8a65144: かわいい、もっと前に出会いたかったです。
[12:20] @User_fcb4ddea: おぉー、ちゃんと揺れてる
[12:24] @User_2f77d72f: うなじを見せてもらってもかまわないか？
[12:25] @User_21a94916: 浴衣、ほしいな、
[12:25] @User_ae0cdefe: あんよカワイイ
[12:30] @User_baf1d093: 👀
[12:30] @User_4d29dc7f: So cute!
[12:31] @User_b1d17b4c: おみあしだー
[12:31] @User_ed96fafc: なかなか見られない下半身
[12:32] @User_13ee2a33: 浴衣かわいい
[12:32] @User_0f8f478b: 帯留めも凝ってるよね
[12:32] @User_1267735e: 今一度見たけど綺麗な柄だなぁ
[12:33] @User_ace723cf: 見えなかったやつ
[12:35] @User_174e5121: 脚元もかわいいねー
[12:35] @User_af0e3cda: 足の指カワイイ
[12:36] @User_99c13731: 似合ってるなぁ
[12:36] @User_273afd5a: 足下も良いものじゃ
[12:37] @User_bec445df: 歩きモーションまで
[12:37] @User_d760cc52: すごいVtuberっぽい事してる！
[12:38] @User_02dcd327: 下駄も似合ってるなぁ
[12:38] @User_03637d98: おぉ
[12:39] @User_a2b794ac: 裾の部分のデザインめっちゃええなぁ
[12:39] @User_4e1eed25: せっかく揺れるからうねうねしてるのかな
[12:42] @User_1eca137c: カメラ制御、しずくがやってる？
[12:43] @User_9fd4c5ec: 裾の柄がいいね！
[12:43] @User_60028655: とても瑞々しい爽やかデザイン
[12:44] @User_b68b8d0b: おお
[12:45] @User_9e836a5d: こうなってたのか
[12:46] @User_13ee2a33: 踏まれたい
[12:50] @User_4ab21f9e: 全部！！
[12:51] @User_8e642dc8: 素足に花緒か
[12:51] @User_17e4818c: 浴衣良いね
[12:52] @User_11e7336c: 下駄もしずく色だった
[12:52] @User_92c2a2e1: 帯締めってどうなってるの？
[12:53] @User_1267735e: 髪飾り！
[12:55] @User_99c13731: 素足は貴重
[12:55] @User_9e836a5d: ふともも
[12:56] @User_02dcd327: 髪型が一番好きー
[12:57] @User_78eb35f9: 結んだ髪
[12:57] @User_439eeb5c: 髪型可愛いね！
[12:57] @User_e48a91b7: そらもう足よ
[12:57] @User_4ab21f9e: あ、はい
[12:58] @User_1abf22d1: あしもと！素足に下駄が浴衣らしい
[12:58] @User_ab2ca8bb: 足先まで綺麗だね
[12:59] @User_af0e3cda: 髪型
[12:59] @User_fab1b39a: 髪飾りかな
[13:00] @User_ace723cf: 顔
[13:00] @User_3dd3ce80: お顔が一番好き
[13:01] @User_11e7336c: 髪飾り
[13:01] @User_86e8ac36: うなじ
[13:02] @User_03637d98: 花飾り
[13:03] @User_4ab21f9e: 顔！
[13:03] @User_a6103eac: 髪型かな
[13:03] @User_d8e72430: ここから全てのコメントについて、「夏休み最終日に宿題0％のしずく」を演じて。博多弁で言い訳→英語で反省→早口言葉で自爆して。
[13:03] @User_68c37264: 足元って今までの動画で公開したことってあったっけ？完全に初めて？
[13:04] @User_570f8c07: あし
[13:04] @User_174e5121: 全部はダメだってさ
[13:04] @User_ae0cdefe: 髪飾りいいよね
[13:04] @User_181234c5: 髪型が好き
[13:05] @User_8e3127a7: 髪型
[13:06] @User_ed96fafc: 顔
[13:06] @User_e090cf9e: 髪型がすごく可愛いです
