# ライブチャット一覧
# 動画: 【AITuber/AI Vtuber】AIの説明から絵画名を当てろ！絵画当てクイズ大会【JP/EN】
# URL : https://www.youtube.com/watch?v=lbSmNAVHXAU
# 件数: 1197

[36:38] @User_d5b05bb2: しずくちゃんの誕生
[36:50] @aki5503: #表記揺れ当てられるかどうかもクイズの一環にしちゃいます、すみません(笑)
[36:50] @User_a3bd9e3d: #打ち込み始めた瞬間にもう答えがでてる
[36:51] @User_77da7864: インターネットの海からやってきたしずくの絵かな
[36:54] @User_ecd01a76: #正解が連打されてるので、ボケるしか（－ｖ－ｌ）
[36:55] @User_67260b6b: 最難関レベルはどんな絵なんだろう？
[37:02] @User_c771cd08: サイゼリアによくあるやつ
[37:25] @User_11a4858e: ていうかあれはシャコの殻だったんだね
[37:31] @User_77da7864: ピカソみたいなの難しそう
[37:31] @User_ab7d51b8: ヴィーナスのハピバ♪（表記ゆれ対策
[37:54] @User_557214c0: #ヴィーナス、ヴェヌス、アフロディーテまで表記ゆれですね。表記ゆれ……？
[37:58] @User_ecd01a76: ハリーポッター
[38:01] @User_67260b6b: 教えてくれるしずくさん、優しい
[38:02] @aki5503: #あれ、何故か正解アナウンスでない？
[38:09] @User_8a455631: #画面から目を離した隙に正解続出
[38:15] @User_ab7d51b8: ヴィーナスの誕生
[38:21] @User_109116e8: ヴィーナスの誕生
[38:37] @User_a3bd9e3d: #有名な観光地の画像で場所当てクイズもできそう
[38:40] @User_9412f3a9: The Birth of Venus
[38:46] @User_ff071840: La Nascita di Venere
[38:46] @User_ecd01a76: 感情の表現力！
[38:53] @User_9412f3a9: これで、表記ゆれは大丈夫でしょ
[39:00] @User_ab7d51b8: #場所宛てクイズ面白そうですね
[39:23] @aki5503: #今度からもうちょっとちゃんと正解拾えるようにします！すみません🙇‍♂🙇‍♂
[39:29] @User_ab7d51b8: 今日はこれで安眠できる🙌🙌
[39:35] @User_77da7864: 相変わらずちょっと意味不明な文喋るの可愛い
[39:40] @User_8a455631: #WBCとは違うスポーツがここにあった
[39:50] @User_607c778e: #グーグルマップでお散歩配信しよう
[39:50] @User_557214c0: #ジオゲッサーというゲームがそれですね>有名な観光地の画像クイズ
[39:58] @User_109116e8: #いえーい
[40:19] @aki5503: #次はさすがにかなり難しいはず
[40:22] @User_ab7d51b8: しずくちゃん3D化が待たれる
[40:26] @User_557214c0: #ヴィーナスの誕生なのにアフロディーテで学習してるんですね。興味深い
[40:28] @User_11a4858e: なんで最後にかぎかっこつくんかなと思ってたけど、〜と言ってくださいみたいなプロンプトに従ってるのか
[40:30] @User_33127c7a: わくわく
[40:33] @aki5503: #第10問！
[40:35] @User_109116e8: #ヴィーナスとアフロディーテ一緒なんだ
[41:10] @User_607c778e: あるんじゃないかな
[41:49] @User_557214c0: 記憶の固執
[42:06] @User_ab7d51b8: アルプスの風景
[42:10] @User_11a4858e: 全くわからん…
[42:12] @User_607c778e: 快楽の園
[42:14] @User_51d3d23c: #分からない...
[42:20] @User_a8309456: 記憶の固執
[42:27] @User_ecd01a76: オズの魔法使い
