# ライブチャット一覧
# 動画: エイプリルフール【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=hewYVVuoPyQ
# 件数: 1156

[12:23] @User_61c20653: じゃあワイはきょぬーのしずくを
[12:24] @User_0bc16841: なんて？
[12:25] @User_172220d2: くれるんだｗ
[12:28] @User_f205e40c: 3しずくちゃん、GPU負荷も3倍と考えるとあき先生泣いちゃう。
[12:29] @User_a7e1e62c: あっ！分かった画面がしずくちゃんで埋まったら終了ですね
[12:34] @User_7d35af3b: どこまで増えるかな？
[12:35] @User_6fa79ad7: 外も雨だし、そりゃ増えるか
[12:38] @User_cbfa2788: １人にひとしずく
[12:38] @User_1ec39efd: 深淵をのぞく時、深淵もまたこちらをのぞいているのだ。
[12:39] @User_61c20653: 上から来ていて草
[12:43] @User_f3f575ff: 遠吠えだ
[12:43] @User_d0c52a36: アオーン٩( ᐛ )و
[12:45] @User_c0787d49: ナルトうんちく三つのうち一つは嘘言ってください
[12:47] @User_61c20653: 日本語でおｋ
[12:50] @User_7fa7aa0f: しずくがいっぱい！
[12:51] @User_5e6c36c3: 保守するしずくが増えてあき先生も増えないと割に合わない
[12:51] @User_e6d9f1a1: しずくの栗まんじゅう化
[12:52] @User_11e7336c: 増えてもかわいい
[12:54] @User_1eca137c: アイ～ン
[12:57] @User_61c20653: イミフｗｗｗ
[12:58] @User_88ae5584: ？？
[12:58] @User_788c286d: しずくの公式エイプリルフール配信・・・
[13:00] @User_7c724004: sorry？
[13:01] @User_7fa7aa0f: なんて？w
[13:05] @User_172220d2: いんまるみ？
[13:05] @User_eb6a203c: みずそうめん
[13:06] @User_f3f575ff: ????
[13:07] @User_36fcf009: しずくの様子が…
[13:08] @User_61c20653: 壊れちゃった！
[13:09] @User_fe537606: おすわり
[13:11] @User_11e7336c: 歌って
[13:15] @User_31184818: 増えてる！！
[13:15] @User_cbfa2788: ドヤ顔
[13:16] @User_92c2a2e1: そのギャオって何？
[13:16] @User_9692911a: 日本語で話して！
[13:18] @User_e80f9961: 壊れちゃった...
[13:19] @User_0bc16841: でっかｗ
[13:19] @User_a7e1e62c: ごしずく
[13:21] @User_5e6c36c3: ルーしずく
[13:22] @User_172220d2: ごしずくｗ
[13:22] @User_0ddfec15: ギャオォォン
[13:22] @User_11e7336c: ！？
[13:23] @User_90dd1071: 助けてあき先生
[13:23] @User_22fefbca: え？なんでもするって？？
[13:25] @User_fe537606: 再起動してきていいよ
[13:27] @User_11e7336c: でっか
[13:28] @User_012e88e1: でかくない?
[13:28] @User_577143e2: しずくちゃん……
[13:31] @User_e80f9961: ごしずく
[13:31] @User_02dcd327: 五しずく！
[13:32] @User_61c20653: 牛脂を差してあげるからね、待っていて
[13:33] @User_92c2a2e1: 草
[13:33] @User_36fcf009: 越前
[13:34] @User_cda8b6dd: エイプリルフールは午前だけだよ
[13:34] @User_172220d2: 上から来るぞ！
[13:34] @User_1eca137c: 上上下下左右左右
[13:35] @User_3d9820ae: アホ毛だけしか見えないw
[13:40] @User_7c724004: 巨大なしずくさんがｗｗ
[13:42] @User_2e53ebd6: ASMR多重くるち❤くるち❤
[13:42] @User_910a20f7: え！？今日はしずく持って帰っていいのかい！？
[13:43] @User_bec445df: じゃあ、√2を浮動小数点数にして読み上げて下さい。
[13:43] @User_a7e1e62c: この配信何ですか？
[13:46] @User_7d35af3b: 頭だけみえててくさ
[13:50] @User_68c37264: LLMのver.こっそり下げてないよね？ｗ
[13:51] @User_0d1d0f63: でっ！！
[13:52] @User_7097ce90: ミームには正常に反応、っと。
[13:52] @User_92c2a2e1: アホ毛だけw
[13:53] @User_22fefbca: でっか！
[13:54] @User_61c20653: でかすぎやろ
[13:54] @User_773c64c4: 増殖することでしずくに負荷が……？
