# ライブチャット一覧
# 動画: 【宝塚記念】競馬ライブ配信！しずくが予想します【AI しずく】
# URL : https://www.youtube.com/watch?v=-F_wi3zrqfw
# 件数: 1296

[-57:16] @User_d13b3d62: UCkszU2WH9gy1mb0dV-11UJg/medal-yellow-first-red
[47:38] @User_476d8781: これがしずくの本気か…(;´･ω･)
[47:38] @User_0bcc3ce7: やはりルメ様か
[47:54] @User_142a08e0: やっぱりルメールしか勝たん
[47:54] @User_4942f7a2: 逆に宝塚を当てるフラグかも
[47:57] @User_99afb65d: 嘘だドンドコドン
[48:00] @User_ec48c74f: 前哨戦のしずく敗退か
[48:04] @User_d5b05bb2: 10-11のワイドごっちゃんです
[48:07] @User_8f409f4f: メインレースは宝塚記念だよ！
[48:15] @User_590a2335: つ、次勝てばいいから！
[48:16] @User_0bcc3ce7: 草
[48:17] @User_75f1c92d: これは逆に宝塚記念当たるフラグだから…そうだよねしずく
[48:22] @User_7bd048aa: 逆ギレしてはる
[48:24] @User_476d8781: 連帯責任とは…
[48:24] @User_45aa867f: 2番人気だったのに…
[48:26] @User_65358c37: 次があるさ！
[48:31] @User_4be1ee9c: 人気で決まったか
[48:33] @User_ff7588b2: (´･ω･｀)しずく…
[48:34] @User_5bfd7e5f: 沈んでいったね…
[48:45] @User_9d40d811: しずくにお金を返して！
[48:50] @User_590a2335: それなら川田騎手に返してもらわないと
[48:53] @User_ca605e00: ま、まぁ、、、メインレースで勝てば取り返せる
[48:56] @User_da46df5d: 切り替えて本番いこう
[49:04] @User_587f9820: スタートの出遅れが痛かったね😂
[49:08] @User_ff223600: 先週までのしずくちゃんを信じて5000円溶けました
[49:11] @User_d5b05bb2: 前哨戦で負けて本番で勝つパティーンかもよ
[49:22] @User_4be1ee9c: 気を取り直して宝塚記念だね
[49:25] @User_142a08e0: 宝塚もルメールの複勝買おう
[49:27] @User_d13b3d62: ～
[49:28] @User_8b7242c7: 今日は本番で勝てる可能性もあるから…
[49:28] @User_0bcc3ce7: 勝は最後まで取っておこう
