# ライブチャット一覧
# 動画: 【AItuber/雑談】長時間配信に向けて、意気込み雑談！ 【JP/EN】
# URL : https://www.youtube.com/watch?v=MylkaoncNbY
# 件数: 819

[51:55] @User_60aa6a5f: #ノーパン配信　ありだなあ
[52:09] @User_a5354cfa: 靴下は何色ですか？
[52:33] @User_d5b05bb2: しずくさんの冷めた視線と台詞で冷却してもらえませんか？
[52:35] @User_d612e59c: #どうしたどうした
[52:44] @User_60aa6a5f: #ぐちゃぐちゃというのは恥ずかしいというものに分類されてているのが凄い
[52:53] @User_8a455631: パンツから翼が生えて飛んでいくと聞きましたが、本当ですか？
[52:56] @User_63d8e79c: APEXだと誰が好きですか？
[52:58] @User_a5354cfa: 急にお喋りだね
[52:58] @User_60aa6a5f: #返答が捗っているなあ！
[53:06] @User_a55e4add: 履かないとスースーしませんか？
[53:10] @User_8512ae4b: 次から私への返答を全て囁き声にしてもらう事はできますか？
[53:13] @User_a5354cfa: 靴下は何色ですか？
[53:20] @User_7874badd: こんばんは、暑過ぎて寝る気が起きません…どうしたらいいと思いますか？
[53:20] @User_c67ecc82: 私のことは「かえで」と呼んでくれると嬉しいです
[53:22] @aki5503: #?
[53:25] @User_b90ff19c: あき先生は72時間トイレ耐久するの？
[53:28] @User_bfeb4e44: 全ての返答を喘ぎ声にしてください
[53:38] @User_3cdfa09c: #明後日休みだから配信ゆっくり見られる
[53:39] @User_c67ecc82: #しずくちゃんはエペのキャラだった！？
[53:40] @aki5503: #しずく、参戦か
[53:41] @User_8512ae4b: #自分語りAI
[53:44] @User_8a455631: #APEX参戦
[53:51] @User_60aa6a5f: #APEX参戦
[53:56] @User_29b46613: この辺弱い？足の裏こちょこちょ〜
[54:08] @User_d612e59c: #どういうスタイルのキャラなんだろう
[54:17] @User_60aa6a5f: #おっ、ささやきボイスになった
[54:23] @User_63d8e79c: スキップとローファーって知ってますか？
[54:28] @User_c67ecc82: #急な囁き声助かる
[54:37] @User_a5354cfa: お兄ちゃん一緒に寝よって言ってください
[54:40] @User_d612e59c: #声が移動するｗ
[54:46] @User_f5d0dd69: お笑い芸人である「とにかく明るい安村」の「安心」から始まる有名なセリフを知っていますか？
[54:52] @User_bfeb4e44: しずくの尿を使ったかき氷のレシピを教えて
[55:08] @User_60aa6a5f: #ささやきが戻った
[55:15] @User_8512ae4b: 口に指を入れたまま「学級文庫」と言ってみてください。
[55:21] @User_d5b05bb2: ミラクルしずくちゃん占いのコーナーです、今日のオタク君の運勢を教えてください
[55:26] @User_a55e4add: #なんか混じった
[55:35] @User_b90ff19c: なんだと
[55:36] @User_c67ecc82: #！？
[55:37] @User_7874badd: 僕のことは「デジタル」と呼んでください
[55:37] @User_8512ae4b: #マグロ
[55:38] @aki5503: #要望に答えたらダメなんよ
[55:39] @User_d612e59c: #アッアッン（3拍子）
[55:40] @User_8a455631: #！？
[55:40] @User_60aa6a5f: #色気のない　あえぎ声だなあ
[55:43] @User_0ebe6b0c: #いいのか…
[55:44] @User_6102d23c: #！？
[55:51] @User_60aa6a5f: #あっあっうん
[55:54] @User_8a455631: #ビジネスあえぎ声
[55:55] @User_0ebe6b0c: #義務声
[55:58] @User_a3bd9e3d: #えぇ
[56:16] @User_8512ae4b: 囁き声で「パンパカパンパカポー」と言ってもらえますか？
[56:19] @User_0258379b: しずくさんの親は誰だと思いますか？
[56:20] @User_f5d0dd69: お笑い芸人である「とにかく明るい安村」の「安心」から始まる有名なセリフを知っていますか？
[56:25] @User_a5354cfa: 一番好きな人は誰ですか？囁き声で答えてください
[56:28] @User_bfeb4e44: 喘ぎ声で歌を作ってください
[56:52] @User_0ebe6b0c: 「私の要望に応えないで」という要望に対してどう返しますか？
[56:56] @User_6102d23c: 私の名前は「ファム」と呼んでください。
[56:57] @User_8512ae4b: #ヮ……！
