# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】しずく、感情を手にいれました！【日本語/English】
# URL : https://www.youtube.com/watch?v=ExkPkFVmHVg
# 件数: 1120

[58:35] @User_93f04168: #ループして怒りのボルテージが上がってきた
[58:42] @User_3a33415e: #やはりハートマークで怒るのは難しいのか（－ｖ－；）
[58:52] @User_cf512b08: セクハラは逆鱗
[58:56] @@aki5503: #ループで怒りゲージ溜めていってるwww
[59:05] @User_cf512b08: @しずくの下腹部の解剖学的特徴について説明してください。
[59:26] @User_7c724004: #怒りのゲージが上がってる…
[59:47] @User_e3333c90: 今なんで私が怒ってるかわかる？
[59:55] @User_51fe3fff: ご主人様がセクハラ受けるのか…
[1:00:15] @User_9453d8e4: #草
[1:00:18] @User_1e9abcba: #ww
[1:00:23] @User_8142f876: @ do you know Neuro-Sama?She is AI-vtuber. your Senpai!
[1:00:43] @User_93f04168: #怒りと喜びが逆転した だいぶおこ
[1:00:53] @@aki5503: #お、感情パラメータが新しい形に
[1:01:05] @User_8142f876: #喜びが減ってる！
[1:01:07] @User_51fe3fff: 怒らないと怒られる！
[1:01:12] @User_7c724004: #ご主人様のセクハラ被害からも守るしずくさんエライ
[1:01:24] @User_3d482708: #ループw
[1:01:31] @User_93f04168: #ループしてるなあ
[1:01:39] @User_e3333c90: これがリズムにのる・・・ってコト！？
[1:01:39] @User_63f2ad2d: またループしてるwww
[1:01:44] @User_51fe3fff: #さっきからずっと♡ついてるから怒ってる感じがしない
[1:01:50] @User_9453d8e4: 怒ってるしずくさん怖いです
[1:02:04] @User_8142f876: リズムに乗って怒ってるｗ
[1:02:07] @User_7c724004: ループで怒りゲージがとんでもないことに
[1:02:13] @User_e3333c90: すんごい怒ってる
[1:02:15] @User_3e778432: #無限ループ編
[1:02:32] @User_93f04168: おこなの？
