# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす夏って、どんな感じですか？【AI しずく】
# URL : https://www.youtube.com/watch?v=jBjjz08LIPM
# 件数: 994

[33:03] @User_d0c52a36: うん、いいね。一緒にダンボールで「拾ってください」ごっこしよ٩( ᐛ )و
[33:03] @User_b73a3cd7: しずく観察日記はないのかね？・・・
[33:10] @User_4e5df674: あき先生が何をしてくれなかったか記録するのこわい
[33:19] @User_ea3ba6fd: 叢から野生のしずくが飛び出してきた
[33:24] @User_d0c52a36: 七夕しずくさん٩( ᐛ )و
[33:28] @User_b68b8d0b: うずうずしずくかわいい
[33:32] @User_88ae5584: ﾜｯｼｮｲﾜｯｼｮｲ
[33:32] @User_b73a3cd7: お祭り？円状の話かね　あちがった
[33:32] @User_98815a23: お盆休みまでがなｂろう
[33:45] @User_34a668f7: しずく祭りはいつ開催？
[33:45] @User_6d22a488: 半夏生にタコはいかが？🐙
[33:47] @User_fc41513a: 俺は夏休みはまだ先…
[33:50] @User_af0e3cda: お祭りに行ったら何食べたい？衛生観念は忘れて
[33:51] @User_92c2a2e1: でみせね
[33:52] @User_00abd90e: ヤマザキ春のパン祭り
[33:53] @User_3dd3ce80: 花火大会見に行きたい
[33:55] @User_d0c52a36: かき氷٩( ᐛ )و
[34:07] @User_d0c52a36: 迷子になるのです
[34:16] @User_fcb4ddea: 毎年花火大会に行って綺麗な花火を堪能してる
[34:19] @User_92c2a2e1: 私の地域では「六月灯」といいますね
[34:19] @User_d0c52a36: わっしょいわっしょい
[34:22] @User_b73a3cd7: 金魚すくい難しすぎ
[34:25] @User_1a70ee33: 祭りと言えばアイビスサマーダッシュ
[34:25] @User_fe0878a1: やはり屋台の食べ物　高いけど雰囲気もあってか美味しい
[34:32] @User_b68b8d0b: わっしょいわっしょい
[34:43] @User_9de46bcb: 子供の頃、親に1000円貰って食べ歩いた夏祭りの思い出
[34:45] @User_4e5df674: 夏祭りでこっぴどく振られたからまつりこわい
[34:45] @User_af0e3cda: まつりじゃまつりじゃまつりじゃ〜！（CV北島三郎）
[34:46] @User_14a33d4b: 7月だとそろそろ隅田川の花火大会が近いかな？
[34:49] @User_e48a91b7: こんしずこんしず
[34:58] @User_68c37264: 祭りといえば花火だね。去年の大阪万博の花火はエモかった
[35:14] @User_88ae5584: ( ᐛ)ﾁｮｺﾊﾞﾅﾅ
[35:18] @User_b73a3cd7: かき氷はブルーハワイ派です
[35:20] @User_af0e3cda: ｼｬﾘｼｬﾘｼｬﾘｼｬﾘｼｬﾘ
[35:22] @User_6d22a488: 七夕の短冊にロックなヤツがいた
[35:26] @User_92c2a2e1: せみ？
