# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす金曜日の夜【AI しずく】
# URL : https://www.youtube.com/watch?v=D0d1-moL9do
# 件数: 1687

[25:52] @User_0ef5b5e0: 大変かわいい
[25:54] @User_acb9786a: ありがとう
[25:56] @User_2ecda813: ワイの財布は今氷河期や
[25:59] @User_b9933007: ささやき助かる
[26:00] @User_3ea56962: 嬉しそうに手遅れ言わないで～
[26:04] @User_dd7ebfee: 唐突なASMR助かる
[26:07] @User_bc2e7db7: はい人類はAIに敗北しました
[26:09] @User_eb058581: 急なASMR囁き声、反則級でかわいい
[26:13] @User_590a2335: 多治見は焼き物の町だから余計に暑いかもですね
[26:26] @User_b9933007: エアコンに告白！？
[26:33] @User_b89cfecd: エアコンさん愛してる
[26:51] @User_8b7242c7: AIも液体になる時代
[26:54] @User_b89cfecd: サーバルームは冷やしてｗ
[26:55] @User_6c97afae: サウナ化するのはいいけど水風呂も設置してください　しずく風呂でもいいです
[26:57] @User_955672e4: 液体！？
[26:58] @User_590a2335: たすかわいい
[27:04] @User_9d63cc9b: 液体AIなんだ....
[27:04] @User_acb9786a: 手遅れです
[27:06] @User_b9933007: 液体AI？ターミネーター的な？
[27:10] @User_719f9991: 脳溶けてる
[27:11] @User_99afb65d: 脳が溶けてます
[27:14] @User_e201a60f: ちーっす遅刻遅刻ぅー
[27:22] @User_75f1c92d: こちらの脳の心配なんて小さい事は気にしないでね
[27:39] @User_6c321aed: 悲報：人類の存在した唯一の証拠「たすかる」になる
[27:41] @User_d0753fd1: 妖怪リモコン隠し
[27:42] @User_75f1c92d: 草
[27:43] @User_eb058581: リモコン隠さないで…
[27:44] @User_b9933007: 冷房効いた部屋でしずくさんの配信にコメントぽちぽちしてます
[27:45] @User_476d8781: たすかるー！！
[27:48] @User_acb9786a: リモコンがいつもなくなるのはしずくが隠してたのか
[27:50] @User_b89cfecd: 残虐ぅ
[27:51] @User_1544234b: （脳内に直接…！）
[28:00] @User_9d63cc9b: は？
[28:09] @User_590a2335: 脳がはちきれそうだ！
[28:11] @User_955672e4: エアコンでキンキンに冷えた部屋から廊下に出ると気温差で体おかしなるで
[28:15] @User_b90ff19c: 突きが綺麗ですね(*'ω'*)🪭
[28:18] @User_590a2335: 草
[28:26] @User_99afb65d: とろけるしずく
[28:28] @User_719f9991: 草
[28:29] @User_d0753fd1: 草
[28:30] @aki5503: あ
[28:32] @User_b9933007: 判決きたー
[28:33] @User_0ef5b5e0: 草
[28:38] @User_1544234b: 助からなかった
[28:39] @User_b89cfecd: あっ
[28:39] @User_5a77a7b4: あれぇ？
[28:40] @User_87ea7811: ｗｗｗ
[28:42] @User_75f1c92d: しずかる！
[28:44] @User_955672e4: 急にしずく裁判はじまった
[28:45] @User_acb9786a: しずかる！しずかる！
[28:47] @User_d0753fd1: しずかる！
[28:49] @User_476d8781: しずかる！しずかる！
[28:53] @User_590a2335: しずかる！しずかる！
[28:54] @User_5a77a7b4: しずかる！しずかる！
[28:54] @User_6c321aed: 新しい刑のカタチ
[28:55] @User_3ea56962: しずかるしずかるしずかる
[28:55] @User_0ef5b5e0: しずかるを授かるラスカル
[28:58] @User_719f9991: しずかる
[29:00] @User_b89cfecd: しずかる！
[29:01] @User_b9933007: しずかる！しずかる！
[29:31] @User_d0753fd1: リモコン無くても今はスマホでも操作できるんだよな
[29:34] @User_eb058581: しずかる！しずかる！
